思考理路,目标、对象、手段,见法,理由,Uttama,理由,V&K,理由,""
大方向,传统，现代，僧格兼学,以此为宗,方向确立，因缘来聚，可偏重而不偏废（如：虽然重教理，但不偏废僧格、禅修等）,,,保留意见,偏废的定义需要细化,""
大方向,传统教学（信），现代教学（解），僧格培养（行）- 三者都有信解行，但按现在的现象偏重谈,以此为宗,,,,,,""
大方向,半月诵戒 -  （a）必须背诵（b）读即可（c）放录音即可,a,,,,,,""
大方向,只培养全才，不培养专才,有误解,培养基才，鼓励专才，有幸全才,,,无法接受,全才培养难度过高，降低整体成功率,""
大方向,分别设立专才培养和全才培养计划,分不开,没基础，何来专才（如基督教佛学教授）,,,核心主张,,""
大方向,学院模式对比：（a）初中（b）高中（c）专课 (d)本科 （e）研究所,目前a+b，日后随缘逐步开展,基础教育建立完整的出家僧涯,,,,,""
大方向,对于教学理念的分歧，应该相互尊重，求同存异,赞同,,,,合作的基础,,""
大方向,对于共识或通过调和达成的共识部分，设计为公共必修课，大家共同协作,赞同,,,,合作的基础,,""
大方向,对于尽力调和之后仍然无法达成共识的部分，设计为专业必修课，谁主张谁执行,保留意见,还得先考虑宗旨。不能单凭当前个人能力而限制未来发展动向。,,,合作的基础,,""
大方向,先设定目标，才考量目前在能力范围内能应对对象的手段,主张,远期目标是诸多短期目标而成,,,保留意见,当下设计的远期目标可以如此,""
大方向,不拒绝日后能力增大手段更多,主张,如此才有望让相关的因缘出现并汇集，完成目标。,,,赞同,,""
大方向,目前可以按能力实施可行手段，同时也打开大门,主张,让可能成就目标的因缘手段进来。,,,赞同,,""
大方向,教学目标的设立需要根据实际情况进行阶段化设定，分为目前、近期、中期、远期,赞同,,,,主张,这样帮助达成更多共识,""
培养目标,alaṅkāra&dhammācariya即以下的应试,同,,,,参与设计,通过率数据（10%-35%）需要提前告知当事人,""
培养目标,依靠记忆弘法的老师,保留意见,可找老师教，不能没有一点记忆（没机器就不会弘法?）,,,无法驾驭,可复制性差；但不反对在交集部分提供帮助,""
培养目标,培养有能力作传统弘法的老师,该做,传统教学的自然产品，机器协助更好,,,寻找交集,对其未来从业情况持悲观态度,""
培养目标,abhivaṃsa及以上的头衔应试,该做,系统已经可以支援，有老师及学生即可,,,寻找交集,语料的解析和教材的制作，主要是通过率过低,""
培养目标,缺乏可执行性评估标准（包括主观评价）的目标,保留意见,行为规范学习很重要，但标准不易评估,,,无法接受,无法设计具体方案,""
培养目标,依照律藏为蓝本制定评估标准的行为规范,接受,,,,主张,依照律藏可以避免管理乱象,""
培养目标,缺乏可见的阶段性（一个月）成果的目标,保留意见,行为规范学习很重要，成果却不是一个月可见,,,无法接受,无法回答家长的询问,""
培养目标,依靠工具弘法的老师,接受,,,,重点主推,,""
培养目标,借助工具在老师指导下翻译圣典,同,,,,重点主推,,""
培养目标,借助工具在老师指导下研习教理,同,,,,重点主推,,""
培养目标,借助工具在老师指导下依照圣典原文讲解佛法,同,,,,重点主推,,""
培养目标,僧格标准：依照律藏在犯戒时可执行如法的清静流程,同,应包括开遮持犯,,,重点主推,,""
培养目标,佛教演讲能力（英语、缅语、母语）,赞同,,,,三选一,弘法,""
培养目标,佛教母语写作能力（英语、缅语、母语）,赞同,,,,三选一,翻译,""
培养目标,佛教文献阅读能力（英语、缅语）,保留意见,需有基本能力,,,二选一,查资料，主推缅语,""
培养目标,佛教沟通能力（英语、缅语）,保留意见,需有基本能力,,,二选一,参与课程,""
培养目标,道心培养：禅修,协助设计,利用现有禅林的禅修记录系统,,,需要设计和开发,,""
年龄段,6-12岁,同,,,,无法驾驭,缺乏相关经验,""
年龄段,18岁以上,基本评估,如：是否能遵守禅林规矩，是否出家等,,,无需评估,,""
培养手段,任何无培养目标的教学手段,保留意见,语言教学目标不同以上三藏教学目标,,,无法接受,无法执行及评估，管理混乱,""
年龄段,12-18岁,同,,,,需要评估方可入学,,""
培养手段,理解之后（有逐词译）的背诵,同,,,,可以接受,基于比库巴蒂摩卡的背诵课可设为公共必修,""
培养手段,不懂含义（无逐词译）的背诵,保留意见,有理无理的判断比较主观,,,无法驾驭,缺乏相关的经验,""
培养手段,不知道为什么要背诵的背诵,不接受,背诵开倒车,,,共识,,""
培养手段,知道目的/未理解/部分理解内容的背诵,应鼓吹,帮助掌握整体轮廓及知识内化，如：口诀、偈诵、律条等,,,参与教材设计,建立百科词条时，口诀有帮助；组织做逐词译,""
培养手段,高频资料检索形成自然记忆,支持,应配合整体知识骨架的认知,,,重点主推,,""
培养手段,僧格培养 -生活老师引领示范律文，义务实践,应鼓吹,行动内化成习惯,,,需要细化教学目标,可以协助细化工作,""
